a-j-minter                   1 621345
nick-martini                 0 605361
nick-maton                   0 665155
nick-mears                   1 683232
nick-pivetta                 1 601713
nick-sandlin                 1 680704
nicky-lopez                  0 670032
nico-hoerner                 0 663538
noah-murdock                 1 668716
noelvi-marte                 0 682622
nolan-arenado                0 571448
nolan-gorman                 0 669357
nolan-jones                  0 666134
nolan-schanuel               0 694384
oliver-dunn                  0 686554
omar-cruz                    1 678316
omar-narvaez                 0 553882
oneil-cruz                   0 665833
orion-kerkering              1 689147
orlando-arcia                0 606115
orlando-ribalta              1 687377
oscar-gonzalez               0 660757
osvaldo-bido                 1 674370
oswald-peraza                0 672724
oswaldo-cabrera              0 665828
otto-lopez                   0 672640
ozzie-albies                 0 645277
pablo-lopez                  1 641154
pablo-reyes                  0 622569
patrick-bailey               0 672275
patrick-corbin               1 571578
paul-dejong                  0 657557
paul-goldschmidt             0 502671
paul-sewald                  1 623149
paul-skenes                  1 694973
pavin-smith                  0 656976
pedro-pages                  0 686780
penn-murfee                  1 682171
pete-alonso                  0 624413
pete-crow-armstrong          0 691718
pete-fairbanks               1 664126
phil-maton                   1 664208
pierce-johnson               1 572955
porter-hodge                 1 687863
quinn-priester               1 682990
rafael-devers                0 646240
rafael-marchan               0 665561
rafael-montero               1 606160
raisel-iglesias              1 628452
ramon-laureano               0 657656
ramon-urias                  0 602104
randal-grichuk               0 545341
randy-arozarena              0 668227
randy-dobnak                 1 677976
randy-rodriguez              1 678495
randy-vasquez                1 681190
reed-garrett                 1 657585
reese-olson                  1 681857
reid-detmers                 1 672282
reynaldo-lopez               1 625643
rhys-hoskins                 0 656555
richard-fitts                1 690916
richard-lovelady             1 663992
riley-adams                  0 656180
riley-greene                 0 682985
rob-brantly                  0 542963
rob-refsnyder                0 608701
robbie-ray                   1 592662
robert-garcia                1 676395
robert-stock                 1 476594
robert-suarez                1 663158
roddery-munoz                1 682610
roki-sasaki                  1 808963
romy-gonzalez                0 663853
ronel-blanco                 1 669854
ronny-henriquez              1 678692
rowdy-tellez                 0 642133
ryan-bliss                   0 669208
ryan-borucki                 1 621366
ryan-brasier                 1 518489
ryan-feltner                 1 663372
ryan-fernandez               1 681676
ryan-gusto                   1 687473
ryan-helsley                 1 664854
ryan-jeffers                 0 680777
ryan-johnson                 1 696270
ryan-kreidler                0 668952
ryan-mcmahon                 0 641857
ryan-mountcastle             0 663624
ryan-o-hearn                 0 656811
ryan-pepiot                  1 686752
ryan-pressly                 1 519151
ryan-thompson                1 657044
ryan-walker                  1 676254
ryan-yarbrough               1 642232
ryan-zeferjahn               1 666171
ryne-nelson                  1 669194
ryne-stanek                  1 592773
sal-frelick                  0 686217
salvador-perez               0 521692
sam-huff                     0 669087
sam-long                     1 669674
sam-moll                     1 594580
sandy-alcantara              1 645261
santiago-espinal             0 669289
scott-alexander              1 518397
scott-barlow                 1 605130
scott-blewett                1 656240
sean-bouchard                0 656248
sean-burke                   1 680732
sean-murphy                  0 669221
sean-newcomb                 1 656794
seiya-suzuki                 0 673548
seranthony-dominguez         1 622554
seth-brown                   0 664913
seth-halvorsen               1 678020
seth-lugo                    1 607625
shane-baz                    1 669358
shane-smith                  1 681343
shawn-armstrong              1 542888
shea-langeliers              0 669127
shelby-miller                1 571946
shohei-ohtani                0 660271
shota-imanaga                1 684007
simeon-woods-richardson      1 680573
sonny-gray                   1 543243
spencer-arrighetti           1 681293
spencer-bivens               1 702352
spencer-schwellenbach        1 680885
spencer-steer                0 668715
spencer-torkelson            0 679529
starling-marte               0 516782
steven-cruz                  1 674444
steven-kwan                  0 680757
steven-matz                  1 571927
steven-okert                 1 595345
stuart-fairchild             0 656413
t-j-mcfarland                1 519008
taijuan-walker               1 592836
taj-bradley                  1 671737
tanner-banks                 1 621383
tanner-bibee                 1 676440
tanner-houck                 1 656557
tanner-scott                 1 656945
tarik-skubal                 1 669373
tayler-saucedo               1 642048
tayler-scott                 1 605463
taylor-rogers                1 573124
taylor-walls                 0 670764
taylor-ward                  0 621493
